"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Gary Sánchez","MIN","103","403","351","76","15","1","20","50","53","43","109","6","1","0","",".216",".310",".432",".743",".319","102","","1.5","","244.4","11442"
"Bobby Witt Jr.","KCR","130","556","510","125","27","3","18","64","64","36","136","5","14","4","",".244",".299",".415",".713",".305","91","","1.5","","78.7","sa3011225"
"Austin Barnes","LAD","60","214","189","43","8","1","6","26","24","20","52","4","2","1","",".229",".312",".376",".688",".301","89","","1.5","","591.8","12158"
"Brad Miller","TEX","110","376","327","76","14","2","17","49","48","42","107","2","2","1","",".233",".324",".449",".773",".331","111","","1.5","","544.1","12775"
"Austin Hays","BAL","132","552","509","131","25","3","21","66","66","32","113","7","7","2","",".258",".309",".442",".751",".321","101","","1.5","","252.8","19363"
"Tony Kemp","OAK","132","466","403","97","18","3","7","50","36","51","69","6","8","3","",".242",".333",".352",".685",".304","96","","1.5","","455.8","14894"
"Wil Myers","SDP","138","528","468","114","23","2","21","68","63","53","148","3","11","3","",".243",".323",".431",".754",".325","106","","1.5","","298.8","10047"
"Luis Arraez","MIN","114","471","423","126","24","3","3","56","44","41","46","2","3","1","",".299",".360",".392",".753",".329","108","","1.5","","370.0","18568"
"Evan Longoria","SFG","104","417","375","94","19","2","15","50","50","34","91","4","2","1","",".250",".316",".429",".744",".319","101","","1.5","","509.4","9368"
"Jeremy Peña","HOU","111","437","397","96","18","2","11","51","44","31","111","6","8","2","",".240",".303",".379",".682",".297","89","","1.5","","406.4","sa876320"
"Tom Murphy","SEA","76","278","248","52","10","1","12","31","34","25","89","3","1","0","",".208",".286",".398",".684",".296","91","","1.4","","551.4","13499"
"Michael Brantley","HOU","118","507","458","127","27","2","9","59","53","40","62","5","2","1","",".278",".341",".403",".744",".324","107","","1.4","","254.4","4106"
"Lorenzo Cain","MIL","106","427","382","102","19","2","7","53","40","37","75","4","13","3","",".266",".335",".382",".717",".315","94","","1.4","","495.6","9077"
"Didi Gregorius","PHI","104","421","382","94","18","2","15","49","50","27","68","5","3","1","",".245",".300",".419",".719",".307","89","","1.4","","533.4","6012"
"Christian Vázquez","BOS","118","456","419","104","19","1","8","50","44","30","83","3","6","2","",".249",".301",".361",".661",".289","77","","1.4","","202.9","9774"
"Elias Díaz","COL","106","385","351","92","18","1","14","47","49","28","68","2","0","0","",".261",".318",".439",".757",".324","89","","1.4","","225.9","11680"
"James McCann","NYM","107","402","363","85","13","1","12","44","44","30","111","5","3","1","",".234",".299",".373",".672",".293","88","","1.4","","383.0","12859"
"Andrew McCutchen","MIL","116","485","414","103","20","2","21","65","62","62","104","5","4","1","",".248",".349",".455",".804",".346","115","","1.4","","321.7","9847"
"Yan Gomes","CHC","83","319","289","72","14","1","12","35","40","20","70","5","1","0","",".250",".308",".429",".737",".315","94","","1.4","","488.1","9627"
"Kevin Kiermaier","TBR","114","422","379","86","16","5","7","49","35","34","105","5","12","4","",".227",".299",".351",".651",".285","84","","1.4","","589.3","11038"
"Josh Harrison","CHW","116","465","421","110","22","2","8","53","46","28","67","12","7","3","",".260",".321",".383",".705",".308","95","","1.4","","398.3","8202"
"Akil Baddoo","DET","139","562","496","116","23","6","17","71","56","57","151","4","16","4","",".233",".315",".406",".721",".312","97","","1.4","","153.1","22168"
