"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Teoscar Hernández","TOR","151","651","594","156","30","2","35","90","107","47","174","6","10","4","",".262",".320",".496",".817",".346","","-3.2","0.1","","2.2","","27.5","13066"
"Brandon Belt","SFG","122","525","450","110","22","2","24","70","71","66","131","6","4","2","",".245",".346",".468",".815",".348","","1.7","-1.3","","2.2","","240.5","10264"
"Marcell Ozuna","ATL","141","609","543","143","24","1","28","79","94","59","133","3","4","1","",".263",".337",".468",".805",".344","","0.5","0.0","","2.2","","166.9","10324"
"Ian Happ","CHC","131","567","488","117","23","2","27","74","78","71","162","5","9","3","",".240",".340",".459",".800",".344","","-1.6","0.1","","2.2","","224.6","17919"
"DJ LeMahieu","NYY","107","462","413","117","19","1","10","64","46","41","63","3","4","1","",".283",".348",".412",".760",".331","","2.1","-0.3","","2.2","","126.8","9874"
"Avisaíl García","MIA","141","609","551","143","25","1","24","73","81","41","144","11","8","4","",".260",".322",".440",".762",".325","","0.8","-0.8","","2.2","","173.7","5760"
"Chris Taylor","LAD","149","644","565","140","32","4","21","85","83","65","180","7","11","3","",".247",".330",".430",".760",".328","","-3.9","1.2","","2.2","","141.5","13757"
"Carson Kelly","ARI","109","432","374","90","17","1","16","50","55","48","90","5","1","0","",".240",".332",".422",".753",".325","","0.1","-0.5","","2.2","","278.1","13620"
"Ryan McMahon","COL","139","602","534","136","30","2","25","78","86","59","160","4","6","2","",".254",".331",".460",".791",".338","","2.3","-0.2","","2.1","","156.3","15112"
"Mark Canha","NYM","133","574","479","112","22","3","19","78","65","69","129","20","7","2","",".235",".352",".413",".765",".336","","-2.8","-0.2","","2.1","","291.2","11445"
"Adam Frazier","SEA","126","546","493","132","25","3","8","66","44","39","70","8","7","4","",".267",".330",".381",".710",".311","","0.6","-0.5","","2.1","","416.8","15223"
"Lorenzo Cain","MIL","123","532","476","126","23","0","12","65","49","46","95","5","16","5","",".265",".335",".392",".727",".319","","4.1","1.2","","2.1","","495.6","9077"
