"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Thomas Burrows","ATL","0","0","0","1","4.54","0","3","3.0","3","2","0","3","2","1.48","9.50","5.05","4.79","0.0","999.0","sa874215"
"Ben Braymer","","1","1","0","1","5.44","3","13","23.0","25","14","4","19","11","1.55","7.44","4.16","5.51","0.0","999.0","20175"
"Lucas Luetge","NYY","1","1","0","1","4.74","0","20","20.0","20","11","4","20","8","1.41","9.17","3.81","4.95","0.0","999.0","8337"
"Hunter Strickland","TBR","0","0","0","1","4.56","0","3","3.0","3","2","0","3","1","1.39","8.36","3.74","4.73","0.0","999.0","7836"
"Brooks Kriske","NYY","0","0","0","1","4.80","0","4","4.0","4","2","1","5","3","1.55","10.15","5.88","5.01","0.0","999.0","21189"
"John Curtiss","MIA","3","3","1","11","4.36","0","56","56.0","52","27","7","58","27","1.41","9.35","4.42","4.47","0.0","597.4","16128"
"Alex Vesia","","1","1","0","1","4.31","0","16","16.0","15","8","2","17","7","1.37","9.61","4.15","4.56","0.0","999.0","25007"
"Andrew Triggs","","1","1","0","0","4.90","0","12","12.0","12","7","2","11","5","1.40","8.01","3.40","4.85","0.0","999.0","13533"
"Kyle Ryan","CHC","1","1","0","1","4.68","0","18","18.0","18","9","2","16","9","1.49","8.02","4.38","4.76","0.0","999.0","11753"
"Robert Gsellman","NYM","2","2","0","1","4.36","0","34","34.0","34","16","4","29","13","1.37","7.76","3.37","4.51","0.0","999.0","13696"
"Keury Mella","ARI","0","0","0","1","4.89","0","3","3.0","3","2","0","2","1","1.46","7.41","3.59","4.88","0.0","999.0","15964"
"Thomas Parsons","STL","0","0","0","1","4.69","0","4","4.0","4","2","1","3","1","1.33","7.29","2.54","4.83","0.0","999.0","sa3007624"
"Ralph Garza Jr.","HOU","0","0","0","1","4.76","0","5","5.0","5","3","1","5","2","1.46","8.62","4.43","4.88","0.0","999.0","sa875812"
"Joe Mantiply","ARI","1","1","0","1","4.59","0","14","14.0","14","7","2","12","5","1.40","7.70","3.42","4.61","0.0","999.0","14857"
"Ashton Goudeau","","0","0","0","1","4.60","0","3","3.0","3","2","0","3","1","1.37","7.58","3.00","4.66","0.0","999.0","15139"
"Jacob Webb","","2","2","0","3","4.68","0","38","38.0","36","20","6","39","20","1.48","9.27","4.83","4.84","0.0","601.0","19274"
"Zachery Brown","MIL","0","0","0","1","4.80","0","4","4.0","4","2","1","4","2","1.47","7.99","4.10","4.97","0.0","999.0","sa738901"
"Gabe Speier","KCR","0","0","0","1","4.91","0","4","4.0","4","2","1","3","2","1.52","7.64","4.40","4.94","0.0","999.0","17170"
"Evan Kruczynski","STL","0","0","0","1","4.73","0","4","4.0","4","2","1","3","2","1.45","7.67","3.97","4.92","0.0","999.0","sa3004341"
"Ryan Buchter","ARI","1","1","0","1","4.55","0","10","10.0","9","5","2","11","5","1.38","9.83","4.27","4.68","0.0","999.0","9456"
"Jasseel De La Cruz","","1","0","0","1","4.75","0","8","8.0","8","4","1","7","4","1.49","7.99","4.41","4.79","0.0","999.0","sa879559"
"Zack Burdi","CHW","1","1","0","1","4.87","0","12","12.0","11","6","2","14","7","1.48","10.30","5.02","5.03","0.0","999.0","19159"
"Kyle Dohy","","1","1","0","1","4.74","0","8","8.0","6","4","1","11","7","1.63","12.07","7.52","5.02","0.0","999.0","sa3004861"
"Seth Elledge","","1","1","0","1","4.39","0","15","15.0","14","7","2","16","8","1.45","9.45","4.79","4.67","0.0","999.0","19766"
"Tyler Lyons","NYY","1","1","0","1","4.74","0","14","14.0","14","7","3","15","6","1.40","9.50","3.81","4.94","0.0","999.0","11334"
"Durbin Feltman","BOS","0","0","0","1","5.19","0","6","6.0","6","3","1","6","4","1.60","8.59","5.51","5.05","0.0","999.0","sa3007959"
"Austin Brice","BOS","2","2","0","6","4.70","0","46","46.0","44","24","7","47","19","1.38","9.21","3.74","4.65","0.0","999.0","17237"
"Ramon Rosso","","0","1","0","1","4.93","0","10","10.0","10","5","2","10","5","1.43","9.06","4.12","5.07","0.0","999.0","20368"
"Alexander Lange","DET","0","0","0","1","5.31","0","5","5.0","5","3","1","4","3","1.59","7.04","4.74","5.41","0.0","999.0","sa3005280"
"Jimmy Lambert","CHW","1","1","0","1","4.84","0","12","12.0","12","6","2","11","5","1.42","8.54","3.81","4.94","0.0","999.0","19541"
