"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Teoscar Hernández","TOR","151","651","594","156","30","2","35","90","107","47","175","6","10","4","",".262",".320",".496",".816",".346","","-2.5","0.0","","2.1","","30.0","13066"
"Mark Canha","NYM","134","581","486","114","22","3","19","77","64","70","130","20","8","3","",".235",".352",".411",".763",".335","","-2.9","-0.2","","2.1","","279.8","11445"
"Nick Madrigal","CHC","123","532","489","146","24","6","5","60","48","28","38","8","13","7","",".297",".343",".402",".745",".324","","2.7","-1.3","","2.1","","323.3","20521"
"Andrés Giménez","CLE","115","497","454","114","23","3","15","58","53","24","116","12","19","6","",".251",".304",".413",".717",".309","","4.4","1.1","","2.1","","280.6","19950"
"Adam Frazier","SEA","126","546","493","132","25","3","8","65","44","39","70","8","7","4","",".267",".330",".381",".710",".311","","0.6","-0.5","","2.1","","362.6","15223"
"Carson Kelly","ARI","104","411","356","86","16","1","15","47","51","45","86","5","1","0","",".240",".331",".418",".748",".323","","0.1","-0.4","","2.1","","270.5","13620"
"Mike Yastrzemski","SFG","133","574","507","122","29","4","23","72","71","54","145","8","4","2","",".241",".322",".448",".769",".328","","0.4","-0.2","","2.1","","283.1","14854"
"Lorenzo Cain","MIL","123","532","475","126","23","0","12","62","50","46","95","5","16","5","",".266",".335",".390",".726",".318","","4.1","1.1","","2.1","","406.9","9077"
"Isiah Kiner-Falefa","NYY","126","546","505","138","21","4","8","63","45","28","76","8","15","5","",".273",".319",".376",".695",".303","","0.8","1.1","","2.1","","305.9","16512"
"Jorge Soler","","146","630","545","129","28","0","35","83","96","72","168","8","1","0","",".237",".331",".482",".813",".347","","-1.9","-1.6","","2.0","","192.7","14221"
"AJ Pollock","LAD","126","546","496","131","28","1","25","70","85","36","112","8","8","2","",".264",".320",".478",".798",".337","","-0.9","0.0","","2.0","","215.8","9256"
"Akil Baddoo","DET","143","616","547","139","26","8","18","80","69","60","152","2","23","6","",".253",".328",".430",".758",".326","","-2.0","1.9","","2.0","","155.9","22168"
"Gio Urshela","MIN","125","539","501","135","29","2","17","62","67","30","112","4","1","0","",".270",".314",".436",".750",".322","","-1.3","-1.3","","2.0","","296.8","10681"
"Andrew Benintendi","KCR","130","560","500","134","29","3","17","69","67","49","108","4","11","5","",".268",".335",".437",".772",".333","","1.2","-0.5","","2.0","","195.7","17901"
"Ryan McMahon","COL","134","581","515","131","28","2","24","74","82","57","154","4","5","2","",".255",".331",".457",".788",".337","","2.3","-0.2","","2.0","","160.6","15112"
"J.D. Martinez","BOS","154","665","592","160","35","2","30","89","98","62","155","5","1","0","",".270",".342",".488",".830",".350","","-0.1","-1.9","","2.0","","89.1","6184"
"Avisaíl García","MIA","139","602","545","141","25","1","23","71","79","41","142","11","8","4","",".260",".321",".438",".759",".324","","1.9","-0.8","","1.9","","173.0","5760"
"Austin Hays","BAL","136","588","543","140","28","3","25","76","78","31","123","8","7","4","",".257",".306",".457",".763",".325","","2.9","-0.7","","1.9","","239.7","19363"
"Kevin Kiermaier","TBR","120","518","468","109","22","7","10","59","52","39","127","6","13","5","",".233",".298",".374",".671",".291","","6.8","0.6","","1.9","","579.9","11038"
"Joey Votto","CIN","152","658","559","139","27","2","32","85","97","89","154","5","2","0","",".249",".355",".472",".827",".353","","-1.0","-2.7","","1.9","","138.6","4314"
"Brendan Rodgers","COL","128","553","512","144","29","4","20","70","68","28","110","8","1","1","",".282",".328",".470",".798",".341","","0.3","-0.6","","1.9","","164.2","17907"
"Tommy Pham","","128","553","475","120","22","2","17","72","57","69","123","5","14","5","",".252",".350",".413",".764",".333","","-1.1","0.8","","1.9","","269.7","2967"
"Julio Rodríguez","SEA","66","287","260","72","13","1","11","37","36","21","64","3","9","3","",".278",".339",".458",".797",".342","","4.1","0.3","","1.9","","267.3","sa3005720"
"Jeremy Peña","HOU","110","476","437","109","16","4","17","48","50","26","118","8","9","4","",".249",".300",".417",".717",".308","","-0.5","-0.4","","1.9","","483.1","sa876320"
"Omar Narváez","MIL","99","392","344","87","15","0","11","43","43","39","78","5","0","0","",".251",".333",".392",".725",".316","","-1.3","-0.8","","1.8","","246.5","13338"
"David Fletcher","LAA","151","651","602","166","31","3","6","76","50","39","63","2","12","4","",".276",".321",".367",".688",".301","","1.3","0.8","","1.8","","372.7","17992"
"Daulton Varsho","ARI","105","438","393","99","20","3","16","56","53","37","91","4","9","3","",".253",".321",".443",".764",".327","","-1.7","0.8","","1.8","","94.6","19918"
"Jonathan Schoop","DET","141","609","565","149","27","2","22","76","75","30","123","8","2","0","",".265",".309",".438",".747",".320","","-2.7","-0.2","","1.8","","206.9","11265"
"Robbie Grossman","DET","139","602","510","123","24","3","17","75","60","79","132","6","15","5","",".242",".348",".403",".750",".329","","-0.5","-0.4","","1.8","","190.7","5254"
"Patrick Wisdom","CHC","134","581","520","114","20","0","35","74","88","51","212","6","7","2","",".219",".294",".459",".752",".320","","0.1","-0.3","","1.8","","331.8","13602"
"Brian Anderson","MIA","120","518","454","112","23","1","16","56","60","48","125","11","5","2","",".247",".332",".408",".740",".322","","0.0","0.2","","1.8","","456.9","18289"
"C.J. Cron","COL","134","581","511","137","30","1","30","76","94","53","127","12","1","0","",".269",".349",".511",".860",".364","","0.1","-1.6","","1.8","","127.2","12546"
"Yuli Gurriel","HOU","139","602","540","153","29","1","17","74","77","48","73","5","2","2","",".282",".342",".434",".776",".333","","-0.9","-1.4","","1.8","","207.6","19198"
"Lourdes Gurriel Jr.","TOR","138","595","551","150","31","2","26","73","87","33","121","5","4","3","",".272",".315",".475",".791",".335","","-0.6","-1.5","","1.8","","142.1","19238"
"Joc Pederson","","122","525","464","111","21","3","25","69","74","46","123","10","3","3","",".238",".317",".458",".775",".331","","-0.1","-0.8","","1.8","","473.9","11899"
"Ha-Seong Kim","SDP","109","469","418","101","20","2","14","57","58","39","94","5","11","2","",".241",".311",".401",".712",".308","","0.3","0.9","","1.8","","393.4","27506"
